Serial-number, Stations,               Category,  Transmitter,  Fequency, Studio
31,     ZEMITHANG,                      LPT RELAY,   100 W FM ,                           100.1Mhz,
32,     KALAKTANG,                      LPT RELAY,   100 W FM ,                           100.1Mhz,
33,     BOMDILA,                        LPT RELAY,   100 W FM ,                           100.1Mhz,
34,     TALIHA,                         LPT RELAY,   100 W FM ,                           100.1Mhz,
35,     SEPPA,                          LPT RELAY,   100 W FM ,                           100.1Mhz,
36,     BASAR,                          LPT RELAY,   100 W FM ,                           100.1Mhz,
37,     ALONG,                          LPT RELAY,   100 W FM ,                           100.1Mhz,
38,     MIAO,                           LPT RELAY,   100 W FM ,                           100.1Mhz,
39,     ROING,                          LPT RELAY,   100 W FM ,                           100.1Mhz,
40,     HUNLI,                          LPT RELAY,   100 W FM ,                           100.1Mhz,
41,     YOMCHA,                         LPT RELAY,   100 W FM ,                           100.1Mhz,
42,     NAMSAI,                         LPT RELAY,   100 W FM ,                           100.1Mhz,
43,     HAWAI,                          LPT RELAY,   100 W FM ,                           100.1Mhz,
44,     GEKU,                           LPT RELAY,   100 W FM ,                           100.1Mhz,
45,    DEOMALI,                        LPT RELAY,   100 W FM  ,                          100.1Mhz,
46,     DHUBRI,                         RELAY,       6 KW FM  ,                          103.3 Mhz,
47,     DIBRUGARH,                           ,       300 KW MW,                            567 khz, TYPE III RNU
48,     DIPHU,                  LRS,         1 kW MW ,                            1485 khz, MP
49,     GUWAHATI,                  ,         100 KW MW ,                           729 khz, TYPE IV  UPLINK RNU NOP
51,     JORHAT,                 LRS,         10 KW FM ,                         103.4 Mhz,    MP
52,     KOKRAJHAR,                 ,         20 kW MW ,                           1512 khz,   TYPE I
53,     NOWGONG,                LRS,         6 KW FM  ,                         102.7 Mhz,    MP
54,     SILCHAR,                   ,         20 KW MW ,                            828 khz,   TYPE I RNU
55,     TEZPUR,                    ,         20 kW MW ,                           1125 khz,   MP
56,     MARGHERITA,             LPT Relay,   100 W FM ,                          100.1Mhz,
57,     TINSUKIA,               LPT Relay,   100 W FM ,                          100.1Mhz,
58,     NAZIRA,                 LPT Relay,   100 W FM ,                          100.1Mhz,
59,     NORTH LAKHIMPUR,        LPT Relay,   100 W FM ,                          100.1Mhz,
60,    BHAGALPUR,                        ,  20 kW MW  ,                        1458 khz  ,   TYPE I
61,     DARBHANGA,                       ,   20 KW MW ,                         1296 khz ,    TYPE I
62,     GAYA,                   RELAY,       100 W FM ,                          11.9MHz ,    VB
63,     PATNA,                       ,       100 KW MW ,                          621 khz ,   TYPE IV Uplink News on Phone RNU
64,     PURNEA,                 LRS,        6 KW FM    ,                       102.3 Mhz  ,  MP
65,     SITAMARHI,              RELAY,       100 W FM  ,                          102MHz  ,   VB
66,     SASARAM,                LRS,         6 KW FM   ,                        103.4 Mhz ,   MP
67,     AURANGABAD,             LPT RELAY,   100 W FM  ,                        102.4 Mhz,
68,     MUZAFFARPUR,            LPT RELAY,   100 W FM  ,                       100.1 mhZ,
69,     BETTIAH,                LPT RELAY,   100 W FM  ,                       100.1 mhZ,
70,     MOTIHARI,               LPT RELAY,   100 W FM  ,                       100.1 mhZ,
71,     MADHUBANI,              LPT RELAY,   100 W FM  ,                       100.1 mhZ,
72,     FORBESGANJ,             LPT RELAY,   100 W FM  ,                       100.1 mhZ,
73,     KISHAN GANJ,            RELAY,       100 W FM  ,                        100.1 Mhz,
74,     SUPAUL,                 RELAY,       100 W FM  ,                        100.1 Mhz,
75,     AMBIKAPUR,                   ,       20 kW MW  ,                        1260 khz  ,   TYPE I
76,     BILASPUR,               LRS,         6 KW FM   ,                       103.2 Mhz  ,  MP
